Institute,Reasearch Project%(2017-18),Reasearch Project%(2018-19),Reasearch Project%(2019-20),Consultancy Project%(2017-18),Consultancy Project%(2018-19),consultancy Project%(2019-20)
Symbiosis International ,56.33802816901409,48.68421052631579,47.417840375586856,43.66197183098591,51.31578947368421,52.58215962441315
Tata Institute of Social Sciences ,87.98798798798799,84.51816745655609,79.24107142857143,12.012012012012011,15.481832543443918,20.758928571428573
Tezpur University ,90.64171122994652,97.73462783171522,83.70927318295739,9.358288770053475,2.26537216828479,16.290726817042607
Thapar Institute of Engineering and Technology ,28.22966507177033,50.68493150684932,45.16129032258064,71.77033492822966,49.31506849315068,54.83870967741935
University of Delhi ,97.52650176678446,98.26086956521739,98.55491329479769,2.4734982332155475,1.7391304347826086,1.4450867052023122
University of Hyderabad ,95.74468085106383,96.1038961038961,96.96048632218846,4.25531914893617,3.896103896103896,3.0395136778115504
University of Kashmir ,74.4186046511628,83.33333333333334,83.16831683168317,25.581395348837212,16.666666666666664,16.831683168316832
University of Madras ,89.02439024390245,79.6875,76.86832740213522,10.975609756097562,20.3125,23.131672597864767
Vellore Institute of Technology ,75.64766839378238,71.84873949579831,68.62745098039215,24.352331606217618,28.15126050420168,31.372549019607842
Visva Bharati ,93.30143540669856,95.75113808801214,96.13003095975232,6.698564593301436,4.24886191198786,3.8699690402476783
