Institute,Academic Year,Percentage of unplaced
Indian Institute of Technology Guwahati,2019-20,8.040201005025125
Indian Institute of Technology Hyderabad,2015-16,4.864864864864865
Indian Institute of Technology Hyderabad,2016-17,9.895833333333332
Indian Institute of Technology Hyderabad,2017-18,11.224489795918368
Indian Institute of Technology Hyderabad,2018-19,14.136125654450263
Indian Institute of Technology Hyderabad,2019-20,14.15525114155251
Indian Institute of Technology Indore,2016-17,33.04347826086956
Indian Institute of Technology Indore,2017-18,18.01801801801802
Indian Institute of Technology Indore,2018-19,12.745098039215685
Indian Institute of Technology Indore,2019-20,31.41592920353982
Indian Institute of Technology Kanpur,2015-16,18.64951768488746
Indian Institute of Technology Kanpur,2016-17,2.653631284916201
Indian Institute of Technology Kanpur,2017-18,6.083650190114068
Indian Institute of Technology Kanpur,2018-19,4.1558441558441555
Indian Institute of Technology Kanpur,2019-20,0.12674271229404308
Indian Institute of Technology Kharagpur,2015-16,31.03448275862069
Indian Institute of Technology Kharagpur,2016-17,27.027027027027028
Indian Institute of Technology Kharagpur,2017-18,0.0
Indian Institute of Technology Kharagpur,2018-19,0.0
Indian Institute of Technology Kharagpur,2019-20,0.0
Indian Institute of Technology Madras,2015-16,13.507109004739338
Indian Institute of Technology Madras,2016-17,10.755148741418765
Indian Institute of Technology Madras,2017-18,0.0
Indian Institute of Technology Madras,2018-19,8.011049723756907
Indian Institute of Technology Madras,2019-20,12.032085561497325
Indian Institute of Technology Mandi,2015-16,24.107142857142858
Indian Institute of Technology Mandi,2016-17,28.07017543859649
Indian Institute of Technology Mandi,2017-18,19.090909090909093
Indian Institute of Technology Mandi,2018-19,20.3125
Indian Institute of Technology Patna,2015-16,6.837606837606838
Indian Institute of Technology Patna,2016-17,26.857142857142858
Indian Institute of Technology Patna,2017-18,18.497109826589593
Indian Institute of Technology Patna,2018-19,34.946236559139784
Indian Institute of Technology Patna,2019-20,34.031413612565444
Indian Institute of Technology Roorkee,2015-16,0.0
Indian Institute of Technology Roorkee,2016-17,4.116222760290557
Indian Institute of Technology Roorkee,2017-18,0.06489292667099286
Indian Institute of Technology Roorkee,2018-19,0.0
Indian Institute of Technology Roorkee,2019-20,0.0
Indian Institute of Technology Ropar,2016-17,11.11111111111111
Indian Institute of Technology Ropar,2017-18,3.0927835051546393
Indian Institute of Technology Ropar,2018-19,5.213270142180095
Indian Institute of Technology Ropar,2019-20,16.535433070866144
Institute of Chemical Technology,2015-16,14.347826086956522
Institute of Chemical Technology,2016-17,10.045662100456621
Institute of Chemical Technology,2017-18,3.8461538461538463
Institute of Chemical Technology,2018-19,17.768595041322314
Institute of Chemical Technology,2019-20,27.572016460905353
JSS Academy of Higher Education and Research,2015-16,57.28155339805825
JSS Academy of Higher Education and Research,2016-17,3.1413612565445024
JSS Academy of Higher Education and Research,2017-18,0.0
JSS Academy of Higher Education and Research,2018-19,0.0
JSS Academy of Higher Education and Research,2019-20,0.0
Jadavpur University,2015-16,0.0
Jadavpur University,2016-17,2.8960817717206133
Jadavpur University,2017-18,1.9417475728155338
Jadavpur University,2018-19,0.5730659025787965
Jadavpur University,2019-20,0.11737089201877934
Jamia Hamdard,2015-16,0.0
Jamia Hamdard,2016-17,53.84615384615385
Jamia Hamdard,2017-18,79.02097902097903
Jamia Hamdard,2018-19,72.02797202797203
Jamia Hamdard,2019-20,100.0
