Institute,Programs,Overfill-percent
Jadavpur University ,UG [3 Years Program(s)],183.29918032786884
Guru Nanak Dev University ,PG [3 Years Program(s)],181.66666666666666
SVKM`s Narsee Monjee Institute of Management Studies ,UG [3 Years Program(s)],181.25
Kalinga Institute of Industrial Technology ,UG [3 Years Program(s)],180.86666666666667
Bharath Institute of Higher Education & Research ,UG [3 Years Program(s)],176.66666666666666
Alagappa University ,PG [3 Years Program(s)],175.71428571428572
Vellore Institute of Technology ,UG [3 Years Program(s)],175.4140127388535
Calicut University ,PG [3 Years Program(s)],175.0
Indian Institute of Technology Patna ,UG [4 Years Program(s)],174.792243767313
Manipal Academy of Higher Education ,PG [3 Years Program(s)],174.14772727272728
"Andhra University, Visakhapatnam ",UG [4 Years Program(s)],173.4256926952141
Delhi Technological University ,UG [3 Years Program(s)],172.91666666666666
Calcutta University ,UG [4 Years Program(s)],172.43243243243242
Saveetha Institute of Medical and Technical Sciences ,PG [3 Years Program(s)],171.9298245614035
Banaras Hindu University ,PG [3 Years Program(s)],170.11070110701107
Lovely Professional University ,UG [3 Years Program(s)],168.38709677419354
University of Hyderabad ,PG [3 Years Program(s)],167.46987951807228
Banaras Hindu University ,UG [3 Years Program(s)],166.8570219966159
Cochin University of Science and Technology ,PG-Integrated,166.25
Aligarh Muslim University ,UG [3 Years Program(s)],165.19399603511752
Jadavpur University ,PG [3 Years Program(s)],164.7058823529412
S.R.M. Institute of Science and Technology ,UG [3 Years Program(s)],160.88426527958387
Motilal Nehru National Institute of Technology ,PG [3 Years Program(s)],160.19417475728156
National Institute of Technology Durgapur ,UG [5 Years Program(s)],160.0
Amrita Vishwa Vidyapeetham ,UG [3 Years Program(s)],156.66666666666666
Guru Gobind Singh Indraprastha University ,PG [3 Years Program(s)],155.0
North Eastern Hill University ,PG [3 Years Program(s)],154.54545454545453
University of Delhi ,UG [3 Years Program(s)],154.5243619489559
Alagappa University ,UG [3 Years Program(s)],154.16666666666666
Visva Bharati ,UG [3 Years Program(s)],151.3064133016627
Indian Institute of Science ,PG [3 Years Program(s)],149.33333333333334
S.R.M. Institute of Science and Technology ,PG [3 Years Program(s)],148.70466321243524
PSG College of Technology ,UG [3 Years Program(s)],148.33333333333334
Indian Institute of Technology Madras ,PG [2 Years Program(s)],147.82608695652175
Bharath Institute of Higher Education & Research ,PG [3 Years Program(s)],146.59685863874344
National Institute of Technology Tiruchirappalli ,PG [3 Years Program(s)],146.08695652173913
University of Delhi ,PG [3 Years Program(s)],145.2217814641183
Bharathidasan University ,UG [3 Years Program(s)],144.21052631578948
National Institute of Technology Karnataka ,PG [3 Years Program(s)],144.08602150537635
Kalasalingam Academy of Research and Higher Education ,UG [3 Years Program(s)],143.1578947368421
Jawaharlal Nehru University ,UG [3 Years Program(s)],143.1554524361949
Anna University ,PG [3 Years Program(s)],142.5
Alagappa University ,PG-Integrated,142.30769230769232
Bharathiar University ,UG [3 Years Program(s)],141.875
Sathyabama Institute of Science and Technology ,UG [3 Years Program(s)],141.1764705882353
Datta Meghe Institute of Medical Sciences ,PG [3 Years Program(s)],140.9691629955947
University of Madras ,PG [3 Years Program(s)],140.625
Manipal Academy of Higher Education ,UG [3 Years Program(s)],139.6588486140725
Visva Bharati ,PG-Integrated,137.03703703703704
Vellore Institute of Technology ,UG [5 Years Program(s)],135.0
Sri Ramachandra Institute of Higher Education and Research ,PG [3 Years Program(s)],134.97942386831275
King George`s Medical University ,PG [3 Years Program(s)],134.68834688346882
North Eastern Hill University ,UG [4 Years Program(s)],132.57575757575756
JSS Academy of Higher Education and Research ,UG [3 Years Program(s)],132.5542570951586
Panjab University ,PG [3 Years Program(s)],131.62790697674419
Kalinga Institute of Industrial Technology ,PG [3 Years Program(s)],130.3921568627451
Siksha `O` Anusandhan ,PG [3 Years Program(s)],129.84293193717278
Indian Institute of Technology Mandi ,PG [3 Years Program(s)],127.58620689655173
Indian Institute of Technology Hyderabad ,PG [3 Years Program(s)],123.07692307692308
Dr. D. Y. Patil Vidyapeeth ,PG [3 Years Program(s)],121.72284644194757
Banasthali Vidyapith ,PG [2 Years Program(s)],120.62615101289134
Pondicherry University ,PG [3 Years Program(s)],120.35398230088495
Indian Institute of Technology Bombay ,PG [2 Years Program(s)],116.0281469898358
Amrita Vishwa Vidyapeetham ,PG [3 Years Program(s)],115.58073654390935
Tezpur University ,PG [2 Years Program(s)],115.54878048780488
Kalinga Institute of Industrial Technology ,PG [2 Years Program(s)],115.0
Mahatma Gandhi University ,UG [5 Years Program(s)],114.0
Bharathiar University ,PG [3 Years Program(s)],113.33333333333333
National Institute of Technology Durgapur ,PG-Integrated,111.76470588235294
Bharathidasan University ,PG [3 Years Program(s)],110.0
Jawaharlal Nehru University ,PG [3 Years Program(s)],108.69565217391305
National Institute of Technology Warangal ,PG [3 Years Program(s)],108.47457627118644
Mysore University ,PG [2 Years Program(s)],107.6
Siksha `O` Anusandhan ,UG [3 Years Program(s)],107.5
Panjab University ,UG [3 Years Program(s)],105.90988882387362
"Andhra University, Visakhapatnam ",PG [2 Years Program(s)],105.45702592087312
Indian Institute of Science Education & Research Bhopal ,UG [4 Years Program(s)],105.0
Institute of Chemical Technology ,PG-Integrated,104.16666666666667
Saveetha Institute of Medical and Technical Sciences ,PG [2 Years Program(s)],103.33333333333333
Osmania University ,PG [2 Years Program(s)],102.29339659944642
Banaras Hindu University ,PG [2 Years Program(s)],102.07413945278023
Guru Nanak Dev University ,PG-Integrated,101.96428571428571
Pondicherry University ,UG [3 Years Program(s)],100.21645021645021
University of Kashmir ,PG [2 Years Program(s)],100.0
Sathyabama Institute of Science and Technology ,PG [3 Years Program(s)],100.0
Gauhati University ,PG [2 Years Program(s)],100.0
Madurai Kamaraj University ,PG [3 Years Program(s)],100.0
Aligarh Muslim University ,PG [2 Years Program(s)],98.035027765912
Savitribai Phule Pune University ,PG [3 Years Program(s)],97.77777777777777
Amity University ,PG [2 Years Program(s)],97.56666666666666
Sri Ramachandra Institute of Higher Education and Research ,UG [3 Years Program(s)],97.44680851063829
SVKM`s Narsee Monjee Institute of Management Studies ,PG [2 Years Program(s)],97.16312056737588
Bharathiar University ,PG [2 Years Program(s)],96.66666666666667
Siksha `O` Anusandhan ,PG [2 Years Program(s)],96.04904632152588
Jamia Hamdard ,UG [3 Years Program(s)],95.86206896551724
Osmania University ,PG [3 Years Program(s)],95.0
Jawaharlal Nehru University ,PG [2 Years Program(s)],92.8476821192053
Calcutta University ,PG [2 Years Program(s)],92.54901960784314
Shanmugha Arts Science Technology & Research Academy ,PG [2 Years Program(s)],92.3943661971831
Cochin University of Science and Technology ,PG [2 Years Program(s)],92.32769830949285
Alagappa University ,UG [4 Years Program(s)],91.17647058823529
Birla Institute of Technology & Science -Pilani ,PG [2 Years Program(s)],91.14713216957605
Mumbai University ,PG [2 Years Program(s)],89.85611510791367
Jamia Millia Islamia ,PG [2 Years Program(s)],89.36484490398819
Mumbai University ,UG [3 Years Program(s)],88.94736842105263
Alagappa University ,PG [2 Years Program(s)],88.69715271786022
Indian Institute of Technology Gandhinagar ,PG [2 Years Program(s)],88.27586206896552
Symbiosis International ,PG [2 Years Program(s)],87.6967555412785
Chandigarh University ,PG [2 Years Program(s)],87.27984344422701
Indian Institute of Technology Delhi ,PG [2 Years Program(s)],84.65732087227414
Homi Bhabha National Institute ,PG [2 Years Program(s)],83.61581920903954
Cochin University of Science and Technology ,UG [3 Years Program(s)],83.33333333333333
North Eastern Hill University ,PG [2 Years Program(s)],81.46639511201629
National Institute of Technology Karnataka ,PG [2 Years Program(s)],80.05738880918221
Mahatma Gandhi University ,PG [2 Years Program(s)],79.15742793791574
Calicut University ,PG [2 Years Program(s)],79.05477980665951
Indian Institute of Technology Roorkee ,PG [2 Years Program(s)],77.7509068923821
Sri Venkateswara University ,PG [2 Years Program(s)],77.55354200988468
Kerala University ,PG [2 Years Program(s)],75.0
Indian Institute of Technology Hyderabad ,PG [2 Years Program(s)],73.77622377622377
Panjab University ,PG-Integrated,73.6842105263158
Tata Institute of Social Sciences ,PG [2 Years Program(s)],73.26030927835052
Sri Ramachandra Institute of Higher Education and Research ,PG [2 Years Program(s)],73.01204819277109
JSS Academy of Higher Education and Research ,PG [2 Years Program(s)],72.54545454545455
Indian Institute of Technology Kanpur ,PG [2 Years Program(s)],72.26738934056007
Institute of Chemical Technology ,PG [2 Years Program(s)],71.89189189189189
Jawaharlal Nehru University ,PG-Integrated,71.42857142857143
Guru Nanak Dev University ,PG [2 Years Program(s)],70.69471624266144
Jadavpur University ,PG [2 Years Program(s)],70.62386432465172
Indian Institute of Science ,PG [2 Years Program(s)],69.51754385964912
Indian Institute of Technology Ropar ,PG [2 Years Program(s)],69.32773109243698
Dr. D. Y. Patil Vidyapeeth ,PG [2 Years Program(s)],66.93989071038251
Indian Institute of Technology Guwahati ,PG [2 Years Program(s)],66.43109540636043
Lovely Professional University ,PG [2 Years Program(s)],63.90243902439025
National Institute of Technology Tiruchirappalli ,PG [2 Years Program(s)],62.779156327543426
Madurai Kamaraj University ,PG [2 Years Program(s)],62.65223274695534
Anna University ,PG [2 Years Program(s)],61.083984375
Sardar Vallabhbhai National Institute of Technology ,PG [2 Years Program(s)],60.94420600858369
Mysore University ,PG [3 Years Program(s)],60.526315789473685
University of Madras ,PG [2 Years Program(s)],58.145766345123256
PSG College of Technology ,PG [2 Years Program(s)],57.104194857916106
National Institute of Technology Warangal ,PG [2 Years Program(s)],55.94563986409966
Guru Gobind Singh Indraprastha University ,PG [2 Years Program(s)],55.06535947712418
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,PG [2 Years Program(s)],55.0
Sathyabama Institute of Science and Technology ,PG [2 Years Program(s)],54.87012987012987
Vellore Institute of Technology ,PG [2 Years Program(s)],53.729071537290714
