Institute,Academic Year,Percentage of students going for higher studies
Savitribai Phule Pune University,2016-17,19.230769230769234
Savitribai Phule Pune University,2017-18,25.0
Savitribai Phule Pune University,2018-19,31.25
Savitribai Phule Pune University,2019-20,46.666666666666664
Sawai Man Singh Medical College,2016-17,41.221374045801525
Sawai Man Singh Medical College,2017-18,41.340782122905026
Sawai Man Singh Medical College,2018-19,42.77456647398844
Shanmugha Arts Science Technology & Research Academy,2015-16,32.05128205128205
Shanmugha Arts Science Technology & Research Academy,2016-17,28.597122302158272
Shanmugha Arts Science Technology & Research Academy,2017-18,36.74698795180723
Shanmugha Arts Science Technology & Research Academy,2018-19,41.284403669724774
Shanmugha Arts Science Technology & Research Academy,2019-20,38.05309734513274
Shiv Nadar University,2015-16,16.589861751152075
Shiv Nadar University,2016-17,13.544668587896252
Shiv Nadar University,2017-18,31.009615384615387
Shiv Nadar University,2018-19,21.52777777777778
Shiv Nadar University,2019-20,10.266940451745379
Siksha `O` Anusandhan,2015-16,5.347298787210584
Siksha `O` Anusandhan,2016-17,14.086146682188591
Siksha `O` Anusandhan,2017-18,21.513269339356295
Siksha `O` Anusandhan,2018-19,0.0
Siksha `O` Anusandhan,2019-20,0.0
Sri Ramachandra Institute of Higher Education And Research,2016-17,0.0
Sri Ramachandra Institute of Higher Education And Research,2017-18,54.54545454545454
Sri Ramachandra Institute of Higher Education And Research,2018-19,53.333333333333336
Sri Ramachandra Institute of Higher Education and Research,2015-16,0.0
Sri Ramachandra Institute of Higher Education and Research,2016-17,0.0
Sri Ramachandra Institute of Higher Education and Research,2017-18,62.06896551724138
Sri Ramachandra Institute of Higher Education and Research,2018-19,58.82352941176471
Sri Ramachandra Institute of Higher Education and Research,2019-20,58.82352941176471
Sri Sivasubramaniya Nadar College of Engineering,2015-16,15.901060070671377
Sri Sivasubramaniya Nadar College of Engineering,2016-17,18.682634730538922
Sri Sivasubramaniya Nadar College of Engineering,2017-18,15.0
Sri Sivasubramaniya Nadar College of Engineering,2018-19,15.628970775095299
Sri Sivasubramaniya Nadar College of Engineering,2019-20,15.220483641536273
Sri Venkateswara University,2015-16,0.0
Sri Venkateswara University,2016-17,0.0
Sri Venkateswara University,2017-18,0.0
Sri Venkateswara University,2018-19,0.4
Sri Venkateswara University,2019-20,11.538461538461538
Symbiosis International,2015-16,26.094003241491087
Symbiosis International,2016-17,17.68901569186876
Symbiosis International,2017-18,16.61092530657748
Symbiosis International,2018-19,19.39328277356446
Symbiosis International,2019-20,38.21362799263352
Tamil Nadu Agricultural University,2015-16,23.886138613861384
Tamil Nadu Agricultural University,2016-17,23.120728929384963
Tamil Nadu Agricultural University,2017-18,26.169265033407573
Tamil Nadu Veterinary & Animal Sciences University,2015-16,12.82051282051282
Tamil Nadu Veterinary & Animal Sciences University,2016-17,13.157894736842104
Tamil Nadu Veterinary & Animal Sciences University,2017-18,3.7735849056603774
Tata Institute of Social Sciences,2015-16,93.08176100628931
Tata Institute of Social Sciences,2016-17,93.64161849710982
Tata Institute of Social Sciences,2017-18,97.40259740259741
Tata Institute of Social Sciences,2018-19,53.896103896103895
Tata Institute of Social Sciences,2019-20,36.0
Tezpur University,2015-16,0.0
Tezpur University,2016-17,0.0
Tezpur University,2017-18,33.33333333333333
Tezpur University,2018-19,36.36363636363637
Thapar Institute of Engineering & Technology,2016-17,11.714589989350372
Thapar Institute of Engineering & Technology,2017-18,4.457050243111831
Thapar Institute of Engineering & Technology,2018-19,14.173228346456693
Thapar Institute of Engineering and Technology,2017-18,4.457050243111831
Thapar Institute of Engineering and Technology,2018-19,14.173228346456693
Thapar Institute of Engineering and Technology,2019-20,11.749515816655908
Thapar Institute of Engineering and Technology (Deemed-to-be-university),2015-16,8.741258741258742
Thapar Institute of Engineering and Technology (Deemed-to-be-university),2016-17,11.714589989350372
Thapar Institute of Engineering and Technology (Deemed-to-be-university),2017-18,4.457050243111831
University of Delhi,2015-16,40.68627450980392
University of Delhi,2016-17,42.65402843601896
University of Delhi,2017-18,52.97029702970298
University of Delhi,2018-19,49.063670411985015
University of Jammu,2016-17,76.92307692307693
University of Jammu,2017-18,84.0
University of Jammu,2018-19,80.0
University of Kashmir,2015-16,0.0
University of Kashmir,2016-17,0.0
University of Kashmir,2017-18,0.0
University of Kashmir,2018-19,0.0
University of Kashmir,2019-20,24.59016393442623
Vellore Institute of Technology,2015-16,29.72972972972973
Vellore Institute of Technology,2016-17,50.34013605442177
Vellore Institute of Technology,2017-18,59.427207637231504
Vellore Institute of Technology,2018-19,42.42424242424242
Vellore Institute of Technology,2019-20,70.40441176470588
Visva Bharati,2015-16,76.65952890792292
Visva Bharati,2016-17,77.32474964234622
Visva Bharati,2017-18,71.53053132434576
Visva Bharati,2018-19,71.53053132434576
Visva Bharati,2019-20,78.34645669291339
Visvesvaraya National Institute of Technology,2017-18,16.59125188536953
