Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2016-17,290,280,2017-18,5,2019-20,233,179,"240000(Two Lakh
Forty Thousand)",51,"PG [3 Year
Program(s)]",Dr. D. Y. Patil Vidyapeeth 
2014-15,240,234,2015-16,2,2017-18,194,140,"252000(Two Lakh Fifty
Two Thousand)",49,PG-Integrated,Dr. D. Y. Patil Vidyapeeth 
2015-16,280,276,2016-17,2,2018-19,238,177,"264000(Two Lakh
Sixty Four Thousamd)",55,PG-Integrated,Dr. D. Y. Patil Vidyapeeth 
2016-17,290,280,2017-18,5,2019-20,233,179,"240000(Two Lakh
Forty Thousand)",51,PG-Integrated,Dr. D. Y. Patil Vidyapeeth 
2014-15,800,790,2015-16,31,2017-18,806,751,"432000(Four Lakh
Thirty Two thousand)",33,"UG [4 Years
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2015-16,930,930,2016-17,30,2018-19,825,726,"420000(Four Lakhs
Twenty Thousand
Only)",92,"UG [4 Years
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2016-17,1670,1667,2017-18,15,2019-20,1392,1287,"396000(Three Lakh
Ninety Six Thousand
Only)",74,"UG [4 Years
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2014-15,800,790,2015-16,31,2017-18,806,751,"432000(Four Lakh
Thirty Two thousand)",33,"UG [5 Years
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2015-16,930,930,2016-17,30,2018-19,825,726,"420000(Four Lakhs
Twenty Thousand
Only)",92,"UG [5 Years
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2016-17,1670,1667,2017-18,15,2019-20,1392,1287,"396000(Three Lakh
Ninety Six Thousand
Only)",74,"UG [5 Years
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2014-15,800,790,2015-16,31,2017-18,806,751,"432000(Four Lakh
Thirty Two thousand)",33,"PG [1 Year
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2015-16,930,930,2016-17,30,2018-19,825,726,"420000(Four Lakhs
Twenty Thousand
Only)",92,"PG [1 Year
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2016-17,1670,1667,2017-18,15,2019-20,1392,1287,"396000(Three Lakh
Ninety Six Thousand
Only)",74,"PG [1 Year
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2014-15,800,790,2015-16,31,2017-18,806,751,"432000(Four Lakh
Thirty Two thousand)",33,"PG [2 Year
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2015-16,930,930,2016-17,30,2018-19,825,726,"420000(Four Lakhs
Twenty Thousand
Only)",92,"PG [2 Year
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2016-17,1670,1667,2017-18,15,2019-20,1392,1287,"396000(Three Lakh
Ninety Six Thousand
Only)",74,"PG [2 Year
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2014-15,800,790,2015-16,31,2017-18,806,751,"432000(Four Lakh
Thirty Two thousand)",33,"PG [3 Year
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2015-16,930,930,2016-17,30,2018-19,825,726,"420000(Four Lakhs
Twenty Thousand
Only)",92,"PG [3 Year
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2016-17,1670,1667,2017-18,15,2019-20,1392,1287,"396000(Three Lakh
Ninety Six Thousand
Only)",74,"PG [3 Year
Program(s)]",Saveetha Institute of Medical and Technical Sciences 
2014-15,1230,1206,2015-16,103,2017-18,1234,958,"620000(Six Lakh
Twenty Thousand)",55,"UG [4 Years
Program(s)]",Thapar Institute of Engineering and Technology 
2015-16,1270,1274,2016-17,120,2018-19,1270,1088,"630000(Six Lakh Thirty
Thousand)",180,"UG [4 Years
Program(s)]",Thapar Institute of Engineering and Technology 
2016-17,1480,1438,2017-18,111,2019-20,1549,1053,"810000(Eight Lakh
Ten Thousand)",182,"UG [4 Years
Program(s)]",Thapar Institute of Engineering and Technology 
2014-15,1230,1206,2015-16,103,2017-18,1234,958,"620000(Six Lakh
Twenty Thousand)",55,"PG [2 Year
Program(s)]",Thapar Institute of Engineering and Technology 
2015-16,1270,1274,2016-17,120,2018-19,1270,1088,"630000(Six Lakh Thirty
Thousand)",180,"PG [2 Year
Program(s)]",Thapar Institute of Engineering and Technology 
2016-17,1480,1438,2017-18,111,2019-20,1549,1053,"810000(Eight Lakh
Ten Thousand)",182,"PG [2 Year
Program(s)]",Thapar Institute of Engineering and Technology 
2014-15,1230,1206,2015-16,103,2017-18,1234,958,"620000(Six Lakh
Twenty Thousand)",55,"PG [3 Year
Program(s)]",Thapar Institute of Engineering and Technology 
