Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2014-15,380,374,2015-16,2,2017-18,305,187,"240000(Two Lakh
Forty Thousand)",60,"PG [3 Year
Program(s)]", Dr. D. Y. Patil Vidyapeeth 
2012-13,320,286,2013-14,4,2015-16,228,155,"180000(One Lakh
Eighty Thousand)",54,PG-Integrated, Dr. D. Y. Patil Vidyapeeth 
2013-14,320,278,2014-15,9,2016-17,246,189,"210000(Two Lakh Ten
Thousand)",41,PG-Integrated, Dr. D. Y. Patil Vidyapeeth 
2014-15,380,374,2015-16,2,2017-18,305,187,"240000(Two Lakh
Forty Thousand)",60,PG-Integrated, Dr. D. Y. Patil Vidyapeeth 
2013-14,2112,1563,2014-15,0,2015-16,1282,60,"180000(One Lac
Eighty Thousand)",462,"UG [3 Years
Program(s)]", Bharati Vidyapeeth 
2014-15,2104,1872,2015-16,2,2016-17,1402,72,"308000(Three Lac
Eight Thousand)",564,"UG [3 Years
Program(s)]", Bharati Vidyapeeth 
2015-16,2269,2007,2016-17,97,2017-18,1662,127,"310000(Three Lac ten
thousand)",534,"UG [3 Years
Program(s)]", Bharati Vidyapeeth 
2013-14,2112,1563,2014-15,0,2015-16,1282,60,"180000(One Lac
Eighty Thousand)",462,"PG [1 Year
Program(s)]", Bharati Vidyapeeth 
2014-15,2104,1872,2015-16,2,2016-17,1402,72,"308000(Three Lac
Eight Thousand)",564,"PG [1 Year
Program(s)]", Bharati Vidyapeeth 
2015-16,2269,2007,2016-17,97,2017-18,1662,127,"310000(Three Lac ten
thousand)",534,"PG [1 Year
Program(s)]", Bharati Vidyapeeth 
2013-14,2112,1563,2014-15,0,2015-16,1282,60,"180000(One Lac
Eighty Thousand)",462,"PG [2 Year
Program(s)]", Bharati Vidyapeeth 
2014-15,2104,1872,2015-16,2,2016-17,1402,72,"308000(Three Lac
Eight Thousand)",564,"PG [2 Year
Program(s)]", Bharati Vidyapeeth 
2015-16,2269,2007,2016-17,97,2017-18,1662,127,"310000(Three Lac ten
thousand)",534,"PG [2 Year
Program(s)]", Bharati Vidyapeeth 
2013-14,2112,1563,2014-15,0,2015-16,1282,60,"180000(One Lac
Eighty Thousand)",462,"UG [4 Years
Program(s)]", Bharati Vidyapeeth 
2014-15,2104,1872,2015-16,2,2016-17,1402,72,"308000(Three Lac
Eight Thousand)",564,"UG [4 Years
Program(s)]", Bharati Vidyapeeth 
2015-16,2269,2007,2016-17,97,2017-18,1662,127,"310000(Three Lac ten
thousand)",534,"UG [4 Years
Program(s)]", Bharati Vidyapeeth 
2013-14,2112,1563,2014-15,0,2015-16,1282,60,"180000(One Lac
Eighty Thousand)",462,"UG [5 Years
Program(s)]", Bharati Vidyapeeth 
2014-15,2104,1872,2015-16,2,2016-17,1402,72,"308000(Three Lac
Eight Thousand)",564,"UG [5 Years
Program(s)]", Bharati Vidyapeeth 
2015-16,2269,2007,2016-17,97,2017-18,1662,127,"310000(Three Lac ten
thousand)",534,"UG [5 Years
Program(s)]", Bharati Vidyapeeth 
2013-14,2112,1563,2014-15,0,2015-16,1282,60,"180000(One Lac
Eighty Thousand)",462,"PG [3 Year
Program(s)]", Bharati Vidyapeeth 
2014-15,2104,1872,2015-16,2,2016-17,1402,72,"308000(Three Lac
Eight Thousand)",564,"PG [3 Year
Program(s)]", Bharati Vidyapeeth 
2015-16,2269,2007,2016-17,97,2017-18,1662,127,"310000(Three Lac ten
thousand)",534,"PG [3 Year
Program(s)]", Bharati Vidyapeeth 
2012-13,760,679,2013-14,75,2015-16,651,628,"360000(Three Lakh
Sixty Thousand only)",15,"UG [4 Years
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2013-14,760,739,2014-15,32,2016-17,724,678,"420000(Four Lakh
Twenty Thousand
only)",43,"UG [4 Years
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2014-15,770,770,2015-16,31,2017-18,786,751,"432000(Four Lakh
Thirty Two Thousand
only)",33,"UG [4 Years
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2012-13,760,679,2013-14,75,2015-16,651,628,"360000(Three Lakh
Sixty Thousand only)",15,"UG [5 Years
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2013-14,760,739,2014-15,32,2016-17,724,678,"420000(Four Lakh
Twenty Thousand
only)",43,"UG [5 Years
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2014-15,770,770,2015-16,31,2017-18,786,751,"432000(Four Lakh
Thirty Two Thousand
only)",33,"UG [5 Years
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2012-13,760,679,2013-14,75,2015-16,651,628,"360000(Three Lakh
Sixty Thousand only)",15,"PG [2 Year
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2013-14,760,739,2014-15,32,2016-17,724,678,"420000(Four Lakh
Twenty Thousand
only)",43,"PG [2 Year
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2014-15,770,770,2015-16,31,2017-18,786,751,"432000(Four Lakh
Thirty Two Thousand
only)",33,"PG [2 Year
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2012-13,760,679,2013-14,75,2015-16,651,628,"360000(Three Lakh
Sixty Thousand only)",15,"PG [3 Year
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2013-14,760,739,2014-15,32,2016-17,724,678,"420000(Four Lakh
Twenty Thousand
only)",43,"PG [3 Year
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2014-15,770,770,2015-16,31,2017-18,786,751,"432000(Four Lakh
Thirty Two Thousand
only)",33,"PG [3 Year
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2012-13,760,679,2013-14,75,2015-16,651,628,"360000(Three Lakh
Sixty Thousand only)",15,"PG [1 Year
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2013-14,760,739,2014-15,32,2016-17,724,678,"420000(Four Lakh
Twenty Thousand
only)",43,"PG [1 Year
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2014-15,770,770,2015-16,31,2017-18,786,751,"432000(Four Lakh
Thirty Two Thousand
only)",33,"PG [1 Year
Program(s)]", Saveetha Institute of Medical and Technical Sciences 
2012-13,830,816,2013-14,77,2015-16,858,640,600000(Six Lakhs),75,"UG [4 Years
Program(s)]", Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2013-14,945,853,2014-15,116,2016-17,939,760,600000(Six Lakhs),110,"UG [4 Years
Program(s)]", Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2014-15,1230,1206,2015-16,103,2017-18,1234,901,"620000(Six Lakhs
twenty thousand)",55,"UG [4 Years
Program(s)]", Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2012-13,830,816,2013-14,77,2015-16,858,640,600000(Six Lakhs),75,"PG [2 Year
Program(s)]", Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2013-14,945,853,2014-15,116,2016-17,939,760,600000(Six Lakhs),110,"PG [2 Year
Program(s)]", Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2014-15,1230,1206,2015-16,103,2017-18,1234,901,"620000(Six Lakhs
twenty thousand)",55,"PG [2 Year
Program(s)]", Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2012-13,830,816,2013-14,77,2015-16,858,640,600000(Six Lakhs),75,"PG [3 Year
Program(s)]", Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2013-14,945,853,2014-15,116,2016-17,939,760,600000(Six Lakhs),110,"PG [3 Year
Program(s)]", Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2014-15,1230,1206,2015-16,103,2017-18,1234,901,"620000(Six Lakhs
twenty thousand)",55,"PG [3 Year
Program(s)]", Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2012-13,830,816,2013-14,77,2015-16,858,640,600000(Six Lakhs),75,PG-Integrated, Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2013-14,945,853,2014-15,116,2016-17,939,760,600000(Six Lakhs),110,PG-Integrated, Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2014-15,1230,1206,2015-16,103,2017-18,1234,901,"620000(Six Lakhs
twenty thousand)",55,PG-Integrated, Thapar Institute of Engineering and Technology (Deemed-to-be-university) 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"UG [3 Years
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2014-15,0,0,2015-16,0,2016-17,0,0,0(Zero),0,"UG [3 Years
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Rupees Two
lakhs forty thousand
only)",18,"UG [3 Years
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"UG [4 Years
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2014-15,0,0,2015-16,0,2016-17,0,0,0(Zero),0,"UG [4 Years
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Rupees Two
lakhs forty thousand
only)",18,"UG [4 Years
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"UG [5 Years
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2014-15,0,0,2015-16,0,2016-17,0,0,0(Zero),0,"UG [5 Years
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Rupees Two
lakhs forty thousand
only)",18,"UG [5 Years
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"PG [2 Year
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2014-15,0,0,2015-16,0,2016-17,0,0,0(Zero),0,"PG [2 Year
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Rupees Two
lakhs forty thousand
only)",18,"PG [2 Year
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"PG [3 Year
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2014-15,0,0,2015-16,0,2016-17,0,0,0(Zero),0,"PG [3 Year
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Rupees Two
lakhs forty thousand
only)",18,"PG [3 Year
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,"PG [6 Year
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2014-15,0,0,2015-16,0,2016-17,0,0,0(Zero),0,"PG [6 Year
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Rupees Two
lakhs forty thousand
only)",18,"PG [6 Year
Program(s)]", Sri Ramachandra Institute of Higher Education and Research 
2013-14,0,0,2014-15,0,2015-16,0,0,0(Zero),0,PG-Integrated, Sri Ramachandra Institute of Higher Education and Research 
2014-15,0,0,2015-16,0,2016-17,0,0,0(Zero),0,PG-Integrated, Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Rupees Two
lakhs forty thousand
only)",18,PG-Integrated, Sri Ramachandra Institute of Higher Education and Research 
2013-14,300,300,2014-15,0,2015-16,293,90,"350000(three lakh fifty
thousand)",78,"PG [2 Year
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2014-15,470,435,2015-16,0,2016-17,410,58,"350000(three lakh fifty
thousand)",102,"PG [2 Year
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(three lakh
ninety two thousand)",104,"PG [2 Year
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2013-14,300,300,2014-15,0,2015-16,293,90,"350000(three lakh fifty
thousand)",78,"UG [3 Years
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2014-15,470,435,2015-16,0,2016-17,410,58,"350000(three lakh fifty
thousand)",102,"UG [3 Years
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(three lakh
ninety two thousand)",104,"UG [3 Years
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2013-14,300,300,2014-15,0,2015-16,293,90,"350000(three lakh fifty
thousand)",78,"UG [4 Years
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2014-15,470,435,2015-16,0,2016-17,410,58,"350000(three lakh fifty
thousand)",102,"UG [4 Years
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(three lakh
ninety two thousand)",104,"UG [4 Years
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2013-14,300,300,2014-15,0,2015-16,293,90,"350000(three lakh fifty
thousand)",78,"PG [3 Year
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2014-15,470,435,2015-16,0,2016-17,410,58,"350000(three lakh fifty
thousand)",102,"PG [3 Year
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(three lakh
ninety two thousand)",104,"PG [3 Year
Program(s)]", SVKM`s Narsee Monjee Institute of Management Studies  
2013-14,300,300,2014-15,0,2015-16,293,90,"350000(three lakh fifty
thousand)",78,PG-Integrated, SVKM`s Narsee Monjee Institute of Management Studies  
2014-15,470,435,2015-16,0,2016-17,410,58,"350000(three lakh fifty
thousand)",102,PG-Integrated, SVKM`s Narsee Monjee Institute of Management Studies  
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(three lakh
ninety two thousand)",104,PG-Integrated, SVKM`s Narsee Monjee Institute of Management Studies  
2013-14,70,59,2014-15,0,2015-16,45,4,"84000(Eight lakh forty
thousand only)",18,"UG [3 Years
Program(s)]", Andhra University 
2014-15,70,70,2015-16,7,2016-17,55,28,"196000(One  lakh
Ninety  six thousand
only)",21,"UG [3 Years
Program(s)]", Andhra University 
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two  lakh
twenty eight  thousand
only)",20,"UG [3 Years
Program(s)]", Andhra University 
2013-14,70,59,2014-15,0,2015-16,45,4,"84000(Eight lakh forty
thousand only)",18,"UG [4 Years
Program(s)]", Andhra University 
2014-15,70,70,2015-16,7,2016-17,55,28,"196000(One  lakh
Ninety  six thousand
only)",21,"UG [4 Years
Program(s)]", Andhra University 
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two  lakh
twenty eight  thousand
only)",20,"UG [4 Years
Program(s)]", Andhra University 
2013-14,70,59,2014-15,0,2015-16,45,4,"84000(Eight lakh forty
thousand only)",18,"UG [5 Years
Program(s)]", Andhra University 
